Date_operation,Entrée,Sortie,Stock
2023-01-02 08:50:01,0,20,298.0
2023-01-02 09:11:17,0,15,283.0
2023-01-02 09:45:12,0,10,273.0
2025-01-02 10:20:24,0,24,0.0
2025-01-03 08:55:14,0,20,165.0
2025-01-03 10:26:09,0,15,150.0
2025-01-03 14:41:38,0,60,90.0
2023-01-04 12:23:59,0,30,287.0
2023-01-04 16:22:01,0,30,257.0
2025-01-04 09:28:57,1,0,1.0
2023-01-05 09:30:01,0,25,136.0
2024-01-05 13:32:07,0,10,95.0
2023-01-07 08:29:51,0,5,175.0
2023-01-07 11:02:34,0,20,95.0
2023-01-07 11:08:40,0,60,115.0
2023-01-08 09:51:05,0,10,31.0
2023-01-08 10:27:48,0,20,11.0
2023-01-08 17:20:04,275,0,286.0
2023-01-08 17:24:37,0,70,216.0
2025-01-08 10:17:37,0,30,207.0
2022-01-09 11:53:30,0,20,271.0
2020-01-10 16:32:51,0,0,0.0
2022-01-10 15:06:39,0,5,178.0
2024-01-10 08:48:37,0,25,95.0
2024-01-10 12:24:52,0,20,45.0
2023-01-11 09:11:50,0,10,90.0
2024-01-11 14:49:43,310,0,310.0
2024-01-11 15:20:48,0,25,285.0
2022-01-12 09:05:45,0,20,81.0
2023-01-12 09:13:48,0,10,9.0
2023-02-01 08:57:44,0,5,10.0
2023-02-02 08:52:57,0,10,263.0
2023-02-02 09:00:52,10,0,253.0
2023-02-02 09:02:03,0,20,243.0
2024-02-02 10:27:17,0,20,480.0
2024-02-02 14:04:33,0,50,430.0
2024-02-02 14:32:14,0,105,325.0
2023-02-03 08:26:21,0,20,38.0
2024-02-03 09:50:42,0,20,310.0
2025-02-04 09:39:57,0,1,0.0
2025-02-04 09:41:27,300,0,300.0
2025-02-04 10:05:40,0,15,285.0
2025-02-04 10:47:57,0,70,215.0
2023-02-05 14:35:25,0,60,76.0
2023-02-05 15:25:37,0,30,46.0
2024-02-05 10:39:52,0,30,65.0
2025-02-05 10:11:11,0,50,213.0
2025-02-05 13:35:59,0,30,183.0
2023-02-06 11:07:58,0,20,155.0
2025-02-06 11:01:14,0,15,204.0
2025-02-06 11:19:05,0,30,174.0
2024-02-07 09:42:43,0,25,201.0
2024-02-07 10:06:59,0,20,181.0
2025-02-07 10:46:25,0,20,162.0
2023-02-08 09:05:00,0,10,206.0
2023-02-08 10:36:25,0,30,176.0
2024-02-08 09:59:04,0,10,176.0
2024-02-08 10:46:13,0,25,151.0
2024-02-08 17:06:48,0,3,148.0
2025-02-08 11:11:57,0,40,167.0
2022-02-09 08:51:53,0,10,261.0
2023-02-09 08:49:48,0,5,190.0
2023-02-09 11:43:12,0,30,160.0
2024-02-09 10:10:50,0,10,55.0
2023-02-10 08:35:06,0,10,35.0
2023-02-10 11:19:32,0,8,27.0
2023-02-10 15:33:34,0,10,17.0
2024-02-10 09:38:09,0,10,35.0
2023-02-11 08:48:42,0,10,80.0
2023-02-11 14:09:57,0,1,79.0
2024-02-11 09:58:12,0,10,275.0
2024-02-11 11:22:30,0,40,235.0
2022-02-12 08:27:23,0,20,61.0
2023-02-12 11:11:47,0,9,0.0
2024-02-12 09:46:47,0,10,23.0
2024-02-12 11:52:34,0,20,3.0
2025-03-01 10:21:50,0,10,110.0
2023-03-02 09:09:39,0,30,223.0
2024-03-02 09:58:52,0,30,295.0
2024-03-02 15:11:39,0,25,270.0
2025-03-03 09:45:43,0,10,80.0
2025-03-03 11:07:12,0,10,70.0
2025-03-03 11:27:25,0,30,40.0
2025-03-03 12:55:39,0,10,30.0
2023-03-04 08:36:20,0,5,252.0
2025-03-05 10:24:07,0,40,143.0
2023-03-06 08:37:19,0,70,85.0
2023-03-06 08:37:35,0,10,75.0
2023-03-06 15:58:08,0,20,55.0
2025-03-06 10:24:20,0,30,144.0
2023-03-07 12:22:24,0,25,70.0
2024-03-07 09:01:54,0,10,171.0
2024-03-07 10:24:54,0,20,151.0
2025-03-07 08:41:32,0,15,147.0
2025-03-07 10:34:53,0,30,117.0
2025-03-07 11:31:36,0,15,102.0
2023-03-08 10:14:21,0,30,146.0
2024-03-08 15:31:08,0,20,128.0
2022-03-09 10:42:53,0,3,258.0
2024-03-09 09:16:49,0,5,50.0
2024-03-09 12:50:32,0,30,20.0
2022-03-10 11:00:11,0,50,128.0
2023-03-10 08:45:09,0,17,0.0
2023-03-10 15:23:28,300,0,300.0
2023-03-10 15:32:43,0,70,230.0
2023-03-10 15:48:45,0,30,200.0
2023-03-10 17:44:38,30,0,230.0
2023-03-10 17:45:25,0,30,200.0
2024-03-10 12:22:48,0,20,15.0
2022-03-11 13:55:14,325,0,325.0
2022-03-11 14:41:39,0,2,273.0
2022-03-11 14:41:39,0,50,275.0
2023-03-11 10:24:44,0,20,59.0
2022-03-12 08:36:08,0,10,51.0
2023-04-01 08:52:20,0,15,-5.0
2023-04-01 09:03:35,350,0,345.0
2023-04-01 09:10:17,0,70,275.0
2025-04-01 12:17:31,0,60,50.0
2023-04-02 08:23:58,0,20,203.0
2023-04-02 10:41:13,0,50,153.0
2025-04-02 09:01:31,349,0,349.0
2025-04-02 09:10:25,0,70,279.0
2025-04-02 09:37:28,0,150,129.0
2025-04-02 10:05:54,0,15,114.0
2023-04-03 16:29:13,0,20,18.0
2024-04-03 09:20:28,0,10,300.0
2024-04-03 11:09:53,0,50,250.0
2025-04-03 10:05:31,0,30,0.0
2023-04-04 10:28:18,0,60,192.0
2025-04-04 10:14:54,0,70,145.0
2025-04-04 11:00:44,0,9,136.0
2023-04-05 08:21:25,0,10,36.0
2024-04-05 10:54:54,0,30,35.0
2024-04-05 15:47:12,0,20,15.0
2024-04-06 08:03:56,300,0,300.0
2024-04-06 09:14:02,0,10,290.0
2024-04-06 11:16:29,0,25,265.0
2024-04-06 12:43:24,0,15,250.0
2025-04-06 10:42:09,0,10,134.0
2025-04-06 11:15:50,0,30,104.0
2025-04-06 15:14:04,0,10,94.0
2025-04-06 16:21:12,7,0,101.0
2023-04-07 09:35:48,0,5,65.0
2023-04-07 10:31:21,0,20,45.0
2022-04-08 08:29:02,0,10,-9.0
2022-04-08 09:35:20,8,0,399.0
2022-04-08 09:35:20,400,0,391.0
2022-04-08 12:26:02,0,100,299.0
2023-04-08 08:38:23,0,5,141.0
2023-04-08 10:50:39,0,20,121.0
2025-04-08 10:56:49,0,30,137.0
2023-04-09 10:16:10,0,20,140.0
2023-04-09 10:27:05,0,70,70.0
2023-04-09 12:57:14,0,5,65.0
2024-04-09 08:43:10,275,0,295.0
2024-04-09 09:54:57,0,10,285.0
2024-04-09 12:35:57,0,25,260.0
2022-04-10 08:32:39,0,10,118.0
2023-04-10 09:14:10,0,5,195.0
2023-04-10 09:35:18,0,70,125.0
2024-04-10 09:13:13,0,2,13.0
2022-04-11 11:01:58,0,100,173.0
2023-04-11 11:59:36,0,59,0.0
2024-04-11 10:03:28,0,10,225.0
2024-04-11 12:53:21,0,30,195.0
2024-04-12 11:09:45,1,0,4.0
2024-04-12 14:57:33,220,0,224.0
2023-05-01 09:54:10,5,0,280.0
2024-05-02 09:58:45,0,15,255.0
2025-05-02 17:16:58,0,5,109.0
2024-05-03 09:32:59,0,10,240.0
2023-05-04 08:27:15,0,5,187.0
2025-05-04 08:55:25,0,30,106.0
2025-05-04 09:38:56,0,100,6.0
2025-05-04 10:43:36,0,6,0.0
2023-05-05 09:51:22,0,20,16.0
2023-05-05 12:43:47,0,1,15.0
2025-05-05 10:25:36,0,30,113.0
2025-05-05 10:37:39,0,10,103.0
2024-05-06 10:41:54,0,20,230.0
2025-05-06 10:45:20,0,30,71.0
2023-05-07 08:49:49,0,7,38.0
2023-05-07 10:40:44,0,20,18.0
2024-05-07 09:10:44,0,10,141.0
2025-05-07 11:29:04,0,40,62.0
2025-05-07 12:48:59,0,20,42.0
2023-05-08 08:51:12,0,5,116.0
2023-05-08 10:11:47,0,20,96.0
2023-05-08 12:40:40,0,4,92.0
2024-05-08 09:25:46,0,60,68.0
2024-05-08 12:46:11,0,30,38.0
2025-05-08 12:08:27,0,30,107.0
2025-05-08 12:26:29,0,20,87.0
2022-05-09 11:29:03,0,20,238.0
2023-05-09 08:43:06,0,5,60.0
2023-05-09 10:16:35,0,20,40.0
2024-05-09 12:47:36,0,30,230.0
2024-05-09 14:28:52,0,30,200.0
2022-05-11 10:24:14,0,30,143.0
2024-05-11 18:08:17,0,5,190.0
2022-05-12 09:01:39,0,5,46.0
2022-05-12 10:53:04,0,20,26.0
2022-05-12 13:48:23,0,10,16.0
2023-05-12 07:20:25,350,0,350.0
2023-05-12 10:52:52,0,40,290.0
2024-05-12 10:08:55,0,10,214.0
2024-05-12 10:52:53,0,20,194.0
2024-05-12 12:27:33,0,10,184.0
2023-06-01 08:43:11,0,50,230.0
2025-06-01 09:23:23,75,0,125.0
2025-06-01 14:11:35,0,60,65.0
2025-06-01 16:34:12,0,3,62.0
2023-06-02 09:04:15,0,10,143.0
2023-06-02 11:22:18,0,70,73.0
2023-06-02 12:07:30,70,0,73.0
2023-06-02 12:14:16,0,70,3.0
2025-06-02 09:37:02,1,0,110.0
2025-06-02 09:40:29,0,40,70.0
2023-06-03 09:02:38,0,9,9.0
2023-06-03 12:33:42,1,0,10.0
2025-06-03 14:20:14,270,0,270.0
2025-06-03 15:18:09,0,100,170.0
2025-06-03 17:10:34,0,5,165.0
2025-06-03 18:54:33,0,15,150.0
2023-06-04 08:24:31,0,5,182.0
2023-06-04 12:10:55,0,30,152.0
2023-06-05 12:04:35,0,4,11.0
2025-06-05 10:04:57,0,2,101.0
2025-06-05 11:12:36,0,10,91.0
2025-06-06 10:22:30,0,40,31.0
2025-06-06 11:43:53,0,10,21.0
2023-06-07 08:47:44,0,5,13.0
2023-06-07 09:33:27,2,0,15.0
2023-06-07 12:53:43,5,0,0.0
2023-06-07 12:53:43,10,0,20.0
2023-06-07 13:03:28,300,0,320.0
2023-06-07 13:10:47,0,5,315.0
2023-06-07 13:12:18,0,20,295.0
2023-06-07 13:28:21,0,70,225.0
2024-06-07 10:32:41,0,20,121.0
2024-06-07 12:38:17,0,25,96.0
2024-06-08 10:24:31,0,20,18.0
2025-06-08 10:01:48,0,30,57.0
2022-06-09 12:45:07,0,50,188.0
2022-06-09 14:46:27,0,5,183.0
2023-06-09 08:50:55,0,15,25.0
2023-06-09 11:30:52,0,20,5.0
2022-06-10 08:23:27,0,5,113.0
2023-06-10 09:26:14,0,10,115.0
2024-06-11 09:46:17,0,10,180.0
2024-06-11 10:12:27,0,20,160.0
2022-06-12 08:27:03,0,10,6.0
2023-06-12 10:20:05,0,20,330.0
2024-06-12 11:18:55,0,25,159.0
2024-06-12 11:51:48,0,25,134.0
2023-07-01 08:45:02,0,15,215.0
2025-07-01 10:12:51,0,4,58.0
2025-07-01 13:17:39,0,5,53.0
2025-07-02 08:48:15,0,30,40.0
2025-07-02 16:21:17,0,5,35.0
2025-07-02 16:58:28,0,2,33.0
2023-07-03 12:19:57,350,0,360.0
2023-07-03 12:23:02,0,100,260.0
2023-07-03 16:43:43,0,50,210.0
2025-07-03 08:59:48,0,70,80.0
2025-07-03 10:43:35,0,10,70.0
2023-07-04 11:24:35,0,20,132.0
2025-07-04 17:48:39,1,0,1.0
2025-07-04 17:49:22,0,1,0.0
2024-07-05 09:25:01,0,10,5.0
2024-07-05 11:40:06,0,5,0.0
2025-07-05 10:47:43,0,33,58.0
2025-07-05 12:30:12,300,0,358.0
2025-07-05 12:41:09,0,100,258.0
2025-07-05 13:15:12,0,30,228.0
2023-07-06 08:42:34,0,5,50.0
2023-07-06 10:54:07,0,40,10.0
2024-07-06 09:47:31,0,10,220.0
2024-07-06 10:52:23,0,20,200.0
2023-07-07 08:42:54,0,10,215.0
2023-07-07 10:34:11,0,20,195.0
2025-07-07 11:48:46,0,25,17.0
2023-07-08 09:00:22,0,10,82.0
2023-07-08 11:08:08,0,60,2.0
2023-07-08 17:00:46,0,5,62.0
2023-07-08 17:00:46,0,15,67.0
2024-07-08 08:38:44,0,10,8.0
2024-07-08 08:43:58,0,8,0.0
2024-07-08 08:56:16,280,0,280.0
2025-07-08 11:12:48,0,30,27.0
2022-07-09 08:25:20,0,10,173.0
2023-07-09 12:25:32,0,5,0.0
2023-07-09 15:56:31,320,0,320.0
2023-07-09 16:03:54,0,50,270.0
2023-07-09 17:34:24,0,70,200.0
2024-07-09 09:26:14,0,30,170.0
2024-07-09 09:47:39,0,10,160.0
2024-07-09 10:01:56,30,0,190.0
2024-07-09 15:52:44,0,15,175.0
2022-07-10 09:32:29,0,20,93.0
2023-07-10 10:13:18,0,70,45.0
2024-07-10 11:33:27,0,13,0.0
