Date_operation,Entrée,Sortie,Stock
2020-01-01 16:37:21,0.0,0.0,0.0
2023-01-02 09:11:17,0.0,15.0,1357.0
2025-01-02 09:52:22,0.0,20.0,86.0
2023-01-03 15:24:38,285.0,0.0,2211.0
2023-01-03 15:34:45,118.0,0.0,2329.0
2025-01-03 09:17:07,0.0,40.0,26.0
2023-01-04 08:26:38,0.0,10.0,1257.0
2023-01-04 16:22:01,0.0,20.0,1237.0
2025-01-04 09:52:18,0.0,20.0,371.0
2024-01-05 10:50:24,0.0,10.0,10.0
2024-01-05 10:51:11,0.0,10.0,0.0
2025-01-05 09:20:17,0.0,30.0,467.0
2025-01-05 10:04:35,0.0,30.0,437.0
2023-01-07 08:29:51,0.0,15.0,1175.0
2023-01-07 11:02:34,0.0,30.0,1045.0
2023-01-07 11:08:40,0.0,100.0,1075.0
2025-01-07 10:01:01,0.0,70.0,366.0
2025-01-07 10:39:24,0.0,25.0,341.0
2025-01-07 11:34:09,0.0,100.0,241.0
2022-01-08 08:56:29,0.0,15.0,6063.0
2022-01-08 10:47:51,0.0,100.0,5963.0
2023-01-08 09:51:05,0.0,20.0,1044.0
2023-01-08 14:38:36,0.0,5.0,1039.0
2025-01-08 12:37:45,0.0,20.0,280.0
2022-01-09 11:26:13,0.0,10.0,3769.0
2022-01-09 11:53:30,0.0,20.0,3749.0
2022-01-10 08:22:50,0.0,20.0,2866.0
2022-01-10 11:10:55,0.0,1.0,2765.0
2022-01-10 11:10:55,0.0,100.0,2766.0
2022-01-10 15:06:39,0.0,25.0,2740.0
2024-01-10 09:03:59,0.0,10.0,511.0
2024-01-10 11:35:06,0.0,100.0,411.0
2024-01-10 12:24:52,0.0,50.0,361.0
2024-01-10 13:11:43,0.0,10.0,351.0
2022-01-11 14:24:05,0.0,20.0,370.0
2023-01-11 10:35:34,0.0,20.0,30.0
2023-01-11 10:37:25,0.0,30.0,0.0
2024-01-11 14:24:14,0.0,1.0,403.0
2024-01-11 15:20:48,0.0,20.0,383.0
2022-01-12 08:58:51,0.0,10.0,782.0
2022-01-12 11:36:50,0.0,1.0,781.0
2024-02-01 08:02:52,129.0,0.0,129.0
2024-02-01 08:41:29,0.0,25.0,104.0
2024-02-01 09:08:42,0.0,29.0,75.0
2024-02-01 11:11:54,0.0,75.0,0.0
2025-02-01 09:30:47,0.0,50.0,289.0
2025-02-01 09:54:50,0.0,15.0,274.0
2025-02-01 10:35:23,0.0,50.0,224.0
2023-02-02 08:52:57,0.0,10.0,1347.0
2023-02-02 16:24:16,0.0,100.0,1247.0
2023-02-03 08:45:45,0.0,15.0,2314.0
2023-02-03 11:56:14,0.0,1.0,2313.0
2023-02-03 15:39:00,382.0,0.0,2695.0
2025-02-04 10:02:29,0.0,100.0,271.0
2023-02-05 14:35:25,0.0,100.0,1664.0
2023-02-05 15:25:37,0.0,20.0,1644.0
2025-02-05 09:23:24,0.0,100.0,337.0
2025-02-05 10:28:43,0.0,30.0,307.0
2023-02-06 08:50:48,0.0,15.0,1149.0
2023-02-06 17:12:41,300.0,0.0,1449.0
2025-02-06 10:02:16,0.0,50.0,663.0
2025-02-06 11:01:14,0.0,15.0,648.0
2025-02-06 13:57:21,0.0,25.0,623.0
2025-02-06 14:18:45,0.0,30.0,593.0
2025-02-06 14:24:07,0.0,5.0,588.0
2025-02-06 14:34:29,0.0,3.0,585.0
2025-02-06 14:51:32,0.0,20.0,565.0
2025-02-06 14:53:37,0.0,20.0,545.0
2025-02-06 15:37:18,0.0,5.0,540.0
2025-02-06 15:44:38,0.0,5.0,535.0
2025-02-06 15:49:30,0.0,4.0,531.0
2025-02-06 15:51:53,0.0,2.0,529.0
2025-02-06 15:59:15,0.0,3.0,526.0
2025-02-06 16:06:33,0.0,10.0,516.0
2025-02-06 16:12:35,0.0,5.0,511.0
2025-02-06 16:20:42,0.0,10.0,501.0
2025-02-06 16:39:57,0.0,20.0,481.0
2025-02-06 16:46:11,0.0,20.0,461.0
2025-02-07 11:19:10,0.0,25.0,216.0
2025-02-07 11:45:27,0.0,10.0,206.0
2025-02-07 11:47:19,0.0,10.0,196.0
2025-02-07 11:53:25,0.0,10.0,186.0
2025-02-07 12:24:02,0.0,3.0,183.0
2025-02-07 12:28:46,0.0,5.0,178.0
2025-02-07 12:45:20,0.0,3.0,175.0
2025-02-07 13:36:34,0.0,10.0,165.0
2022-02-08 11:01:27,0.0,15.0,5933.0
2022-02-08 11:03:18,0.0,4.0,5929.0
2022-02-08 11:04:28,0.0,15.0,5948.0
2022-02-08 15:08:28,0.0,3.0,5926.0
2022-02-08 15:11:03,0.0,5.0,5921.0
2022-02-08 15:12:29,0.0,2.0,5919.0
2022-02-08 15:14:52,0.0,10.0,5909.0
2022-02-08 15:15:51,0.0,10.0,5899.0
2022-02-08 15:17:51,0.0,10.0,5889.0
2023-02-08 09:05:00,0.0,10.0,1029.0
2023-02-08 09:48:08,0.0,200.0,829.0
2023-02-08 10:36:25,0.0,30.0,799.0
2025-02-08 08:53:39,500.0,0.0,780.0
2025-02-08 09:57:58,0.0,15.0,765.0
2025-02-08 11:11:57,0.0,30.0,735.0
2022-02-09 08:51:53,0.0,15.0,3734.0
2022-02-09 09:14:00,0.0,30.0,3704.0
2022-02-09 12:49:37,0.0,3.0,3699.0
2022-02-09 13:28:23,0.0,2.0,3702.0
2024-02-09 10:10:50,0.0,20.0,297.0
2024-02-10 09:38:09,0.0,20.0,331.0
2024-02-10 12:56:14,0.0,10.0,321.0
2022-02-11 11:40:01,0.0,20.0,350.0
2024-02-11 10:34:53,0.0,50.0,333.0
2024-02-11 10:40:21,0.0,5.0,328.0
2024-02-11 11:22:30,0.0,50.0,278.0
2022-02-12 08:27:23,0.0,20.0,761.0
2022-02-12 12:38:47,0.0,10.0,751.0
2024-02-12 09:39:13,0.0,50.0,410.0
2024-02-12 09:46:47,0.0,20.0,390.0
2024-02-12 10:54:23,0.0,4.0,386.0
2024-02-12 11:53:09,0.0,50.0,336.0
2023-03-01 09:13:48,0.0,20.0,1175.0
2025-03-01 10:02:10,0.0,50.0,174.0
2025-03-01 10:53:59,0.0,3.0,171.0
2023-03-02 17:19:00,0.0,7.0,1240.0
2025-03-02 09:26:14,0.0,50.0,36.0
2023-03-03 08:28:13,0.0,20.0,2675.0
2023-03-03 13:51:08,0.0,10.0,2665.0
2025-03-03 08:51:04,390.0,0.0,416.0
2025-03-03 09:39:02,0.0,50.0,366.0
2025-03-03 09:45:43,0.0,20.0,346.0
2025-03-03 09:55:49,0.0,100.0,246.0
2025-03-03 10:13:27,0.0,7.0,239.0
2025-03-03 10:35:05,0.0,10.0,229.0
2025-03-03 10:38:58,0.0,5.0,224.0
2025-03-03 10:41:12,0.0,50.0,174.0
2025-03-03 12:18:54,0.0,1.0,173.0
2025-03-03 12:22:00,0.0,2.0,171.0
2025-03-03 12:24:00,0.0,5.0,166.0
2025-03-03 12:28:31,0.0,4.0,162.0
2025-03-03 12:41:02,0.0,20.0,142.0
2025-03-03 13:19:30,0.0,50.0,92.0
2023-03-04 11:00:11,0.0,50.0,1187.0
2025-03-04 12:00:31,0.0,70.0,201.0
2025-03-05 10:39:42,0.0,30.0,277.0
2025-03-05 13:51:23,0.0,20.0,257.0
2025-03-06 10:24:20,0.0,30.0,431.0
2025-03-06 11:29:53,0.0,5.0,426.0
2023-03-07 08:42:54,0.0,15.0,1030.0
2023-03-07 13:57:12,0.0,5.0,1025.0
2023-03-07 16:47:55,450.0,0.0,1475.0
2023-03-07 17:14:19,212.0,0.0,1687.0
2025-03-07 11:31:36,0.0,20.0,145.0
2022-03-08 09:46:32,0.0,30.0,5859.0
2022-03-08 14:52:37,0.0,10.0,5849.0
2022-03-08 15:12:56,0.0,50.0,5794.0
2022-03-08 15:33:24,0.0,5.0,5844.0
2022-03-08 15:44:41,0.0,10.0,5784.0
2022-03-08 17:25:23,0.0,15.0,5764.0
2022-03-08 17:27:59,0.0,10.0,5754.0
2022-03-08 17:29:21,0.0,5.0,5779.0
2023-03-08 08:55:17,0.0,25.0,774.0
2023-03-08 10:14:21,0.0,30.0,744.0
2023-03-08 12:57:43,0.0,100.0,644.0
2022-03-09 08:24:09,0.0,15.0,3684.0
2022-03-09 10:42:53,0.0,5.0,3679.0
2022-03-09 10:58:34,0.0,4.0,3675.0
2022-03-09 11:11:34,0.0,3.0,3672.0
2024-03-09 09:16:49,0.0,20.0,277.0
2024-03-09 12:50:32,0.0,50.0,227.0
2024-03-09 13:39:44,400.0,0.0,627.0
2024-03-09 13:52:07,100.0,0.0,727.0
2024-03-09 13:53:58,0.0,100.0,627.0
2024-03-09 13:55:35,0.0,400.0,227.0
2022-03-10 10:28:55,0.0,5.0,2735.0
2022-03-10 11:00:11,0.0,30.0,2705.0
2022-03-11 11:00:09,0.0,25.0,325.0
2024-03-12 08:55:39,0.0,22.0,314.0
2024-03-12 13:24:32,0.0,5.0,309.0
2024-03-12 13:35:47,0.0,3.0,306.0
2023-04-01 08:44:36,0.0,20.0,1155.0
2023-04-01 15:03:08,0.0,2.0,1153.0
2025-04-01 09:56:15,0.0,4.0,167.0
2025-04-01 12:17:31,0.0,30.0,137.0
2025-04-01 13:56:41,0.0,10.0,127.0
2023-04-02 08:23:58,0.0,15.0,1225.0
2025-04-02 12:44:35,14.0,0.0,50.0
2023-04-03 14:45:29,0.0,100.0,2565.0
2025-04-03 09:48:46,0.0,2.0,82.0
2025-04-03 09:48:46,0.0,8.0,84.0
2025-04-03 09:59:01,0.0,15.0,67.0
2025-04-03 10:00:25,0.0,3.0,64.0
2025-04-03 10:02:48,0.0,40.0,24.0
2025-04-03 10:38:18,0.0,15.0,9.0
2025-04-03 13:17:19,500.0,0.0,509.0
2025-04-03 13:56:48,0.0,9.0,500.0
2025-04-03 14:12:54,0.0,6.0,494.0
2025-04-03 14:38:12,0.0,5.0,489.0
2025-04-03 14:42:15,0.0,10.0,479.0
2023-04-04 08:50:00,0.0,15.0,1172.0
2023-04-04 10:28:18,0.0,100.0,1072.0
2023-04-04 10:45:43,0.0,10.0,1062.0
2023-04-04 10:50:01,0.0,10.0,1052.0
2023-04-04 11:41:09,0.0,5.0,1047.0
2023-04-04 13:24:50,0.0,5.0,1042.0
2023-04-04 13:29:35,0.0,10.0,1032.0
2023-04-04 13:40:12,0.0,25.0,1007.0
2023-04-04 13:58:06,0.0,2.0,1005.0
2023-04-04 14:20:49,0.0,2.0,1003.0
2023-04-04 14:35:48,0.0,3.0,1000.0
2023-04-04 14:38:47,0.0,5.0,995.0
2023-04-04 14:44:06,0.0,5.0,990.0
2025-04-04 11:33:03,0.0,50.0,151.0
2023-04-05 08:21:25,0.0,15.0,1629.0
2023-04-05 11:48:19,0.0,4.0,1625.0
2023-04-05 12:02:52,0.0,10.0,1615.0
2023-04-05 12:45:32,0.0,20.0,1595.0
2023-04-05 12:49:00,0.0,10.0,1585.0
2023-04-05 12:52:24,0.0,10.0,1575.0
2025-04-06 10:58:55,0.0,50.0,376.0
2025-04-06 11:31:28,0.0,30.0,346.0
2025-04-06 12:29:37,0.0,20.0,326.0
2025-04-06 15:03:39,50.0,0.0,376.0
2025-04-06 15:41:11,0.0,130.0,246.0
2025-04-06 18:11:46,0.0,50.0,196.0
2023-04-07 10:31:21,0.0,30.0,1657.0
2025-04-07 09:28:28,0.0,2.0,143.0
2025-04-07 11:20:45,0.0,1.0,142.0
2025-04-07 11:28:55,0.0,30.0,112.0
2025-04-07 11:56:29,0.0,15.0,97.0
2025-04-07 12:52:49,10.0,0.0,107.0
2025-04-07 12:53:53,0.0,100.0,7.0
2025-04-07 13:51:33,10.0,0.0,17.0
2025-04-07 13:54:24,0.0,10.0,7.0
2022-04-08 14:52:03,0.0,10.0,5744.0
2022-04-08 15:35:48,0.0,4.0,5740.0
2022-04-08 15:38:16,0.0,2.0,5738.0
2022-04-08 16:09:07,0.0,1.0,5737.0
2022-04-08 16:44:13,0.0,3.0,5712.0
2022-04-08 17:20:30,0.0,5.0,5732.0
2022-04-08 17:21:22,0.0,5.0,5727.0
2022-04-08 17:21:45,0.0,12.0,5715.0
2022-04-08 17:22:09,0.0,5.0,5707.0
2022-04-08 17:22:51,0.0,35.0,5672.0
2022-04-08 17:23:54,0.0,10.0,5662.0
2022-04-08 17:24:17,0.0,2.0,5660.0
2022-04-08 17:46:39,0.0,10.0,5650.0
2023-04-08 08:38:23,0.0,10.0,634.0
2023-04-08 09:30:23,0.0,20.0,614.0
2023-04-08 09:52:49,0.0,3.0,607.0
2023-04-08 09:54:53,0.0,2.0,610.0
2023-04-08 09:55:24,0.0,2.0,612.0
2023-04-08 10:31:45,0.0,2.0,605.0
2023-04-08 11:59:54,0.0,2.0,595.0
2023-04-08 12:25:36,0.0,7.0,583.0
2023-04-08 12:27:08,0.0,5.0,590.0
2023-04-08 12:27:41,0.0,5.0,597.0
2023-04-08 12:28:19,0.0,3.0,602.0
2023-04-08 13:14:43,0.0,2.0,581.0
2023-04-08 13:15:29,0.0,5.0,576.0
2023-04-08 13:15:54,0.0,4.0,572.0
2025-04-08 09:27:29,300.0,0.0,1035.0
2025-04-08 11:32:03,0.0,11.0,1024.0
2025-04-08 13:17:52,0.0,3.0,1021.0
2025-04-08 16:59:57,0.0,5.0,1016.0
2022-04-10 08:32:39,0.0,20.0,2685.0
2022-04-10 10:03:08,0.0,5.0,2680.0
2022-04-10 10:26:01,0.0,3.0,2676.0
2022-04-10 10:27:55,0.0,1.0,2679.0
2022-04-10 10:40:16,0.0,5.0,2671.0
2022-04-10 10:57:21,0.0,7.0,2664.0
2022-04-10 11:36:39,0.0,1.0,2663.0
2022-04-10 17:16:03,0.0,10.0,2653.0
2024-04-10 17:02:28,0.0,10.0,311.0
2024-04-10 17:06:13,0.0,5.0,306.0
2022-04-11 08:16:06,0.0,10.0,315.0
2022-04-11 14:36:58,0.0,3.0,312.0
2022-04-11 17:39:16,0.0,50.0,212.0
2022-04-11 17:45:27,0.0,5.0,207.0
2024-04-12 10:08:30,0.0,20.0,286.0
2024-04-12 10:42:34,0.0,5.0,281.0
2024-04-12 10:45:04,0.0,15.0,266.0
2024-04-12 11:00:07,0.0,1.0,265.0
2024-04-12 11:02:46,0.0,6.0,259.0
2024-04-12 11:03:19,0.0,6.0,253.0
2024-04-12 11:08:35,0.0,5.0,248.0
2024-04-12 11:09:56,0.0,3.0,245.0
2024-04-12 11:14:20,0.0,50.0,195.0
2024-04-12 12:37:39,0.0,30.0,165.0
2024-04-12 17:25:58,0.0,3.0,162.0
2023-05-01 15:09:47,0.0,5.0,1148.0
2023-05-01 17:00:30,0.0,1.0,1147.0
2025-05-03 09:14:53,0.0,5.0,474.0
2025-05-03 10:03:31,0.0,30.0,444.0
2025-05-03 11:48:58,0.0,125.0,319.0
2025-05-03 13:39:45,0.0,30.0,289.0
2025-05-03 13:40:48,0.0,10.0,279.0
2025-05-03 13:45:07,0.0,15.0,264.0
2025-05-03 13:50:39,0.0,4.0,260.0
2025-05-03 13:55:21,0.0,2.0,258.0
2025-05-03 13:58:37,0.0,2.0,256.0
2025-05-03 16:20:02,0.0,30.0,226.0
2023-05-04 11:02:44,0.0,20.0,970.0
2025-05-04 08:46:41,0.0,50.0,101.0
2025-05-04 10:43:36,0.0,20.0,81.0
2025-05-05 10:55:26,0.0,30.0,227.0
2025-05-05 13:26:44,0.0,37.0,190.0
2023-05-06 09:58:17,0.0,30.0,1419.0
2023-05-06 10:18:22,0.0,100.0,1319.0
2023-05-06 16:19:40,0.0,10.0,1309.0
2025-05-06 11:21:05,0.0,6.0,190.0
2025-05-06 14:57:28,0.0,5.0,185.0
2025-05-06 15:51:49,0.0,36.0,149.0
2023-05-07 09:40:15,0.0,15.0,1617.0
2023-05-07 09:41:13,0.0,25.0,1632.0
2023-05-07 10:50:36,0.0,10.0,1607.0
2023-05-07 12:42:04,0.0,12.0,1595.0
2023-05-07 14:00:28,0.0,100.0,1495.0
2025-05-07 12:00:24,41.0,0.0,48.0
2025-05-07 12:25:39,9.0,0.0,57.0
2025-05-07 12:27:40,0.0,50.0,7.0
2022-05-08 08:48:21,0.0,20.0,5630.0
2022-05-08 09:42:46,0.0,50.0,5580.0
2022-05-08 10:25:36,0.0,30.0,5550.0
2022-05-08 11:24:04,0.0,15.0,5526.0
2022-05-08 12:51:00,0.0,10.0,5516.0
2023-05-08 15:16:24,0.0,100.0,472.0
2025-05-08 09:13:01,0.0,50.0,966.0
2025-05-08 12:08:27,0.0,30.0,936.0
2025-05-08 16:56:34,0.0,25.0,911.0
2022-05-09 08:35:51,0.0,1.0,3571.0
2022-05-09 08:35:51,0.0,100.0,3572.0
2022-05-09 10:31:55,0.0,10.0,3531.0
2022-05-09 10:51:35,0.0,5.0,3526.0
2022-05-09 12:53:24,0.0,1.0,3425.0
2022-05-09 12:53:24,0.0,100.0,3426.0
2022-05-09 17:53:42,0.0,5.0,3566.0
2022-05-09 17:56:29,0.0,15.0,3551.0
2022-05-09 17:57:31,0.0,10.0,3541.0
2023-05-09 14:53:44,5.0,0.0,5.0
2023-05-09 14:59:51,15.0,0.0,20.0
2023-05-09 15:01:07,5.0,0.0,25.0
2024-05-09 10:38:43,0.0,10.0,217.0
2024-05-09 12:47:36,0.0,50.0,167.0
2024-05-09 13:39:00,0.0,110.0,57.0
2022-05-10 10:40:47,0.0,10.0,2643.0
2022-05-10 10:46:27,0.0,10.0,2633.0
2022-05-10 11:21:27,0.0,20.0,2613.0
2022-05-10 12:49:20,0.0,25.0,2588.0
2022-05-10 13:32:44,0.0,100.0,2488.0
2024-05-10 09:46:29,0.0,100.0,206.0
2024-05-10 09:57:33,0.0,20.0,186.0
2022-05-11 08:18:01,0.0,15.0,192.0
2022-05-11 08:56:16,0.0,5.0,187.0
2022-05-11 09:04:04,0.0,2.0,185.0
2022-05-11 16:46:15,0.0,15.0,170.0
2024-05-11 09:53:50,0.0,15.0,263.0
2024-05-11 10:26:27,0.0,19.0,244.0
2022-05-12 10:44:46,0.0,5.0,746.0
2022-05-12 12:04:43,0.0,50.0,696.0
2022-05-12 12:21:37,0.0,5.0,691.0
2022-05-12 12:37:39,0.0,20.0,671.0
2022-05-12 12:46:37,0.0,10.0,661.0
2022-05-12 13:53:27,0.0,5.0,656.0
2022-05-12 16:14:53,0.0,10.0,646.0
2022-05-12 16:16:15,0.0,2.0,644.0
2022-05-12 16:16:46,0.0,5.0,639.0
2024-05-12 10:08:55,0.0,20.0,142.0
2024-05-12 12:12:16,0.0,5.0,137.0
2024-05-12 12:18:25,0.0,50.0,87.0
2023-06-01 08:43:11,0.0,30.0,1112.0
2023-06-01 09:32:05,0.0,5.0,1142.0
2023-06-01 09:33:27,0.0,3.0,1109.0
2023-06-01 09:38:26,0.0,10.0,1099.0
2023-06-01 10:54:30,0.0,2.0,1097.0
2023-06-01 11:22:02,0.0,100.0,997.0
2025-06-01 09:35:26,0.0,10.0,117.0
2025-06-01 09:54:44,0.0,10.0,107.0
2025-06-01 10:04:36,0.0,4.0,103.0
2025-06-01 10:41:28,0.0,20.0,83.0
2025-06-01 12:16:50,0.0,10.0,73.0
2025-06-01 12:25:31,0.0,3.0,70.0
2025-06-01 12:42:36,0.0,5.0,65.0
2025-06-01 16:25:31,0.0,3.0,62.0
2025-06-01 16:27:11,0.0,10.0,52.0
2025-06-01 16:28:56,0.0,3.0,49.0
2025-06-01 16:44:39,0.0,3.0,46.0
2023-06-02 11:22:18,0.0,500.0,725.0
2023-06-02 12:07:30,500.0,0.0,1175.0
2023-06-02 12:14:16,0.0,50.0,675.0
2023-06-02 17:13:29,0.0,1.0,1174.0
2025-06-03 09:54:14,0.0,15.0,211.0
2025-06-03 15:18:09,0.0,100.0,111.0
2023-06-04 08:24:31,0.0,10.0,960.0
2023-06-04 10:42:10,0.0,5.0,948.0
2023-06-04 10:51:07,0.0,2.0,953.0
2023-06-04 10:55:28,0.0,2.0,955.0
2023-06-04 10:59:47,0.0,3.0,957.0
2023-06-04 13:29:24,0.0,5.0,943.0
2023-06-04 14:55:51,0.0,1.0,942.0
2023-06-04 15:16:56,0.0,1.0,941.0
2023-06-04 15:27:40,0.0,1.0,940.0
2023-06-05 12:04:35,0.0,30.0,1511.0
2023-06-05 13:37:16,0.0,50.0,1461.0
2025-06-05 11:12:36,0.0,20.0,170.0
2025-06-05 13:38:17,0.0,30.0,140.0
2025-06-05 17:00:28,0.0,2.0,138.0
2023-06-06 10:08:29,0.0,5.0,1304.0
2023-06-06 10:09:33,0.0,5.0,1299.0
2023-06-06 10:10:34,0.0,10.0,1289.0
2023-06-06 10:11:59,0.0,7.0,1282.0
2023-06-06 10:13:24,0.0,1.0,1281.0
2023-06-06 10:23:17,0.0,50.0,1196.0
2023-06-06 10:28:55,0.0,5.0,1191.0
2023-06-06 11:51:06,0.0,5.0,1276.0
2023-06-06 11:52:49,0.0,15.0,1261.0
2023-06-06 11:55:30,0.0,10.0,1251.0
2023-06-06 11:57:05,0.0,5.0,1246.0
2023-06-06 13:43:32,0.0,50.0,1141.0
2023-06-06 13:45:23,0.0,25.0,1116.0
2023-06-06 13:48:57,0.0,15.0,1101.0
2025-06-06 15:48:52,0.0,40.0,109.0
2023-06-07 08:47:44,0.0,15.0,1480.0
2023-06-07 12:27:41,0.0,5.0,1475.0
2023-06-07 12:31:54,0.0,30.0,1445.0
2023-06-07 13:43:30,0.0,30.0,1415.0
2023-06-07 16:25:00,0.0,1.0,1414.0
2023-06-07 16:32:21,0.0,10.0,1404.0
2023-06-07 16:42:47,0.0,40.0,1364.0
2022-06-08 12:57:10,0.0,10.0,5480.0
2022-06-08 13:00:58,0.0,10.0,5490.0
2022-06-08 13:03:00,0.0,5.0,5500.0
2022-06-08 13:07:22,0.0,2.0,5505.0
2022-06-08 13:14:56,0.0,4.0,5507.0
2022-06-08 13:18:29,0.0,5.0,5511.0
2022-06-08 13:24:38,0.0,5.0,5541.0
2022-06-08 13:27:10,0.0,4.0,5546.0
2022-06-08 13:35:28,0.0,15.0,5465.0
2022-06-08 13:51:07,0.0,1.0,5457.0
2022-06-08 13:55:28,0.0,2.0,5463.0
2022-06-08 13:59:12,0.0,5.0,5458.0
2025-06-08 09:48:56,0.0,10.0,901.0
2025-06-08 11:36:58,0.0,5.0,896.0
2025-06-08 11:45:41,0.0,7.0,889.0
2022-06-09 08:15:07,0.0,10.0,3415.0
2022-06-09 12:05:46,0.0,10.0,3405.0
2022-06-09 12:10:22,0.0,3.0,3402.0
2022-06-09 13:11:30,0.0,6.0,3396.0
2022-06-09 13:56:57,0.0,4.0,3392.0
2024-06-09 09:18:11,0.0,20.0,37.0
2024-06-09 14:24:18,0.0,8.0,29.0
2024-06-09 14:29:14,0.0,5.0,24.0
2024-06-09 14:35:05,0.0,2.0,22.0
2024-06-09 14:47:28,0.0,10.0,12.0
2024-06-09 14:49:34,0.0,3.0,9.0
2024-06-09 14:58:15,0.0,4.0,5.0
2024-06-09 15:04:11,0.0,5.0,0.0
2022-06-10 08:23:27,0.0,15.0,2473.0
2022-06-10 09:42:25,0.0,30.0,2443.0
2022-06-10 10:29:04,0.0,15.0,2428.0
2022-06-10 10:35:22,0.0,15.0,2413.0
2022-06-10 10:48:46,0.0,10.0,2403.0
2022-06-10 14:49:42,0.0,4.0,2399.0
2022-06-10 14:50:44,0.0,20.0,2379.0
2022-06-10 14:51:33,0.0,5.0,2374.0
2022-06-10 14:53:23,0.0,8.0,2366.0
2022-06-10 14:54:40,0.0,4.0,2362.0
2023-06-10 09:07:45,100.0,0.0,127.0
2023-06-10 09:26:14,0.0,40.0,87.0
2023-06-10 09:28:22,0.0,60.0,27.0
2023-06-10 15:52:31,1.0,0.0,28.0
2024-06-11 09:46:17,0.0,15.0,229.0
2024-06-11 10:12:27,0.0,50.0,129.0
2024-06-11 10:12:27,0.0,50.0,179.0
2024-06-11 11:03:10,0.0,5.0,124.0
2024-06-11 11:27:58,0.0,5.0,119.0
2024-06-11 11:35:45,0.0,25.0,94.0
2024-06-11 13:36:06,0.0,30.0,64.0
2024-06-11 14:08:55,0.0,10.0,54.0
2024-06-11 14:10:38,0.0,2.0,52.0
2024-06-11 14:22:02,0.0,5.0,47.0
2024-06-11 14:33:20,0.0,25.0,22.0
2024-06-11 14:35:06,0.0,5.0,17.0
2024-06-11 16:54:21,0.0,2.0,15.0
2022-06-12 08:27:03,0.0,15.0,624.0
2022-06-12 08:52:14,0.0,4.0,620.0
2022-06-12 08:54:46,0.0,20.0,600.0
2022-06-12 10:40:48,0.0,30.0,570.0
2022-06-12 10:44:33,0.0,25.0,545.0
2022-06-12 13:13:17,0.0,2.0,543.0
2022-06-12 13:17:53,0.0,4.0,539.0
2022-06-12 13:22:54,0.0,3.0,536.0
2022-06-12 13:27:17,0.0,10.0,526.0
2022-06-12 13:42:02,0.0,5.0,521.0
2022-06-12 16:04:44,0.0,5.0,501.0
