Date_operation,Entrée,Sortie,Stock
2020-01-01 16:29:29,0,0.0,0.0
2023-01-02 09:11:17,0,15.0,2988.0
2023-01-02 09:53:07,0,1250.0,1738.0
2023-01-02 11:42:52,5,0.0,1669.0
2023-01-02 11:49:19,0,100.0,1569.0
2023-01-02 11:51:33,0,74.0,1664.0
2023-01-02 16:06:11,108,0.0,1677.0
2024-01-02 11:17:09,25,0.0,27.0
2024-01-02 11:22:17,0,2.0,25.0
2025-01-02 10:36:54,0,50.0,97.0
2025-01-02 12:46:18,0,25.0,72.0
2023-01-03 08:32:00,0,15.0,1624.0
2024-01-03 09:26:38,0,50.0,659.0
2025-01-03 10:37:30,0,11.0,129.0
2025-01-03 11:12:42,0,6.0,123.0
2025-01-03 14:07:59,0,70.0,53.0
2023-01-04 08:26:38,0,20.0,1215.0
2024-01-04 11:15:05,0,50.0,345.0
2024-01-04 12:49:41,0,50.0,295.0
2025-01-04 08:38:35,0,12.0,106.0
2025-01-04 08:53:24,0,19.0,87.0
2025-01-04 12:06:50,0,50.0,37.0
2023-01-05 09:30:01,0,30.0,204.0
2023-01-05 10:25:26,0,30.0,174.0
2023-01-07 08:29:51,0,15.0,684.0
2023-01-07 08:43:39,0,65.0,619.0
2023-01-07 14:30:42,0,1.0,618.0
2025-01-07 10:01:01,0,50.0,133.0
2025-01-07 10:21:25,50,0.0,183.0
2025-01-07 10:37:10,0,50.0,133.0
2025-01-07 11:14:44,0,50.0,83.0
2022-01-08 08:56:29,0,25.0,679.0
2022-01-08 11:05:50,0,50.0,629.0
2022-01-08 11:32:45,0,30.0,599.0
2023-01-08 09:51:05,0,60.0,415.0
2023-01-08 10:02:02,0,150.0,215.0
2023-01-08 10:03:13,0,50.0,365.0
2023-01-08 10:27:48,0,15.0,200.0
2023-01-08 15:03:01,146,0.0,346.0
2023-01-08 15:08:48,500,0.0,846.0
2023-01-08 15:18:33,0,50.0,696.0
2023-01-08 15:19:22,0,50.0,746.0
2023-01-08 15:19:49,0,50.0,796.0
2023-01-08 16:45:15,0,40.0,656.0
2024-01-08 08:27:13,731,0.0,766.0
2024-01-08 08:30:59,361,0.0,1127.0
2024-01-08 08:33:58,0,50.0,1077.0
2024-01-08 08:37:20,0,80.0,997.0
2024-01-08 09:14:03,0,50.0,947.0
2024-01-08 12:02:13,0,100.0,847.0
2022-01-09 08:34:10,0,50.0,1582.0
2022-01-09 15:00:04,0,50.0,1532.0
2022-01-09 15:04:20,0,50.0,1482.0
2023-01-09 08:48:39,0,40.0,976.0
2023-01-09 13:20:11,0,68.0,908.0
2024-01-10 09:22:39,0,80.0,583.0
2024-01-10 09:27:04,0,100.0,483.0
2024-01-10 09:31:18,0,100.0,383.0
2024-01-10 09:35:33,0,128.0,255.0
2024-01-10 09:44:19,0,50.0,155.0
2024-01-10 09:44:19,0,50.0,205.0
2024-01-10 10:01:35,0,20.0,135.0
2024-01-10 10:11:24,0,135.0,0.0
2024-01-10 11:43:19,0,50.0,-50.0
2024-01-10 15:18:56,50,0.0,0.0
2022-01-11 11:59:30,0,6.0,729.0
2023-01-11 09:11:50,0,50.0,512.0
2023-01-11 10:15:39,0,60.0,452.0
2024-01-11 09:46:29,0,50.0,0.0
2024-01-11 13:29:51,575,0.0,575.0
2024-01-11 15:20:48,0,10.0,565.0
2022-01-12 08:58:51,0,50.0,274.0
2023-01-12 09:49:22,0,13.0,45.0
2023-01-12 11:53:58,115,0.0,160.0
2023-01-12 11:56:15,0,115.0,45.0
2023-01-12 11:57:00,50,0.0,95.0
2023-01-12 11:57:31,0,70.0,25.0
2023-01-12 17:32:44,0,40.0,-15.0
2024-02-01 09:08:42,0,30.0,482.0
2023-02-02 08:52:57,0,50.0,1627.0
2023-02-02 16:31:39,0,80.0,1547.0
2024-02-02 11:26:50,0,25.0,0.0
2024-02-02 13:38:05,335,0.0,335.0
2024-02-02 14:02:42,0,250.0,85.0
2024-02-02 15:56:44,400,0.0,485.0
2024-02-02 15:57:41,0,100.0,385.0
2024-02-02 16:40:34,0,200.0,185.0
2024-02-02 16:43:12,100,0.0,285.0
2023-02-03 08:45:45,0,15.0,1609.0
2024-02-04 10:11:31,0,50.0,245.0
2024-02-04 10:26:59,400,0.0,645.0
2025-02-04 09:57:16,0,1.0,36.0
2025-02-04 10:49:01,0,36.0,0.0
2023-02-05 09:35:01,0,50.0,124.0
2023-02-05 11:54:17,0,50.0,74.0
2023-02-05 12:19:31,0,50.0,24.0
2024-02-05 09:36:53,0,30.0,513.0
2024-02-05 10:39:52,0,50.0,463.0
2024-02-05 12:22:22,0,50.0,413.0
2024-02-05 12:37:38,0,65.0,348.0
2024-02-05 12:40:50,50,0.0,398.0
2024-02-05 12:50:13,0,50.0,348.0
2024-02-05 13:08:49,0,50.0,298.0
2024-02-05 13:58:05,0,20.0,278.0
2025-02-05 09:23:24,0,200.0,514.0
2025-02-05 10:35:43,100,0.0,614.0
2025-02-05 11:35:59,0,102.0,512.0
2025-02-05 11:45:35,0,101.0,411.0
2023-02-06 08:50:48,0,25.0,419.0
2023-02-06 08:59:33,0,120.0,444.0
2023-02-06 09:01:58,0,50.0,369.0
2023-02-06 10:36:24,0,70.0,299.0
2023-02-06 11:07:58,0,30.0,269.0
2025-02-06 11:01:14,0,50.0,551.0
2025-02-06 11:38:11,0,100.0,451.0
2025-02-06 11:39:02,0,50.0,401.0
2025-02-06 12:28:34,0,15.0,386.0
2024-02-07 08:59:15,1411,0.0,1421.0
2024-02-07 09:37:17,0,50.0,1371.0
2024-02-07 09:49:33,0,32.0,1339.0
2024-02-07 10:02:25,0,100.0,1239.0
2024-02-07 10:04:07,0,50.0,1189.0
2024-02-07 10:06:59,0,50.0,1139.0
2024-02-07 10:08:05,0,72.0,1067.0
2024-02-07 10:28:49,0,60.0,1007.0
2024-02-07 10:41:38,0,200.0,807.0
2024-02-07 13:09:37,0,50.0,757.0
2025-02-07 09:55:53,0,83.0,0.0
2022-02-08 08:36:59,0,15.0,584.0
2022-02-08 10:13:17,0,100.0,484.0
2022-02-08 12:37:30,0,50.0,434.0
2022-02-08 13:34:12,0,15.0,419.0
2023-02-08 10:36:25,0,30.0,622.0
2023-02-08 11:53:22,0,10.0,612.0
2023-02-08 12:48:51,0,4.0,652.0
2023-02-08 13:31:51,0,60.0,552.0
2023-02-08 18:05:53,1,0.0,553.0
2024-02-08 08:46:32,0,50.0,757.0
2024-02-08 09:59:04,0,20.0,737.0
2024-02-08 10:21:29,0,40.0,807.0
2024-02-08 10:40:43,0,50.0,687.0
2024-02-08 10:46:13,0,50.0,637.0
2022-02-09 08:51:53,0,15.0,1467.0
2022-02-09 09:14:00,0,20.0,1447.0
2022-02-09 11:42:37,0,5.0,1442.0
2024-02-09 10:10:50,0,50.0,573.0
2024-02-09 10:38:50,0,150.0,423.0
2024-02-09 11:22:37,15,0.0,438.0
2024-02-09 11:46:36,0,15.0,423.0
2024-02-09 12:01:25,25,0.0,448.0
2024-02-09 12:03:15,0,25.0,423.0
2024-02-09 12:08:17,10,0.0,433.0
2024-02-09 12:10:09,0,10.0,423.0
2024-02-09 12:12:33,1000,0.0,1423.0
2024-02-09 12:17:26,0,1000.0,423.0
2022-02-11 08:41:54,0,20.0,709.0
2022-02-11 10:13:51,0,48.0,661.0
2022-02-11 13:39:23,0,67.0,594.0
2023-02-11 14:03:53,0,52.0,400.0
2023-02-11 14:25:13,0,25.0,375.0
2024-02-11 09:05:41,0,9.0,556.0
2024-02-11 11:22:30,0,50.0,506.0
2024-02-11 14:08:10,780,0.0,1286.0
2022-02-12 08:21:13,0,15.0,259.0
2022-02-12 08:27:23,0,30.0,229.0
2023-03-01 09:05:11,0,30.0,1551.0
2023-03-01 10:19:01,0,100.0,1451.0
2023-03-01 10:56:45,0,153.0,1298.0
2023-03-01 17:37:10,0,10.0,1580.0
2024-03-01 09:46:05,0,50.0,432.0
2024-03-01 12:26:13,0,50.0,382.0
2024-03-01 14:05:52,698,0.0,1080.0
2024-03-01 14:06:44,0,17.0,63.0
2024-03-01 14:06:44,0,1000.0,80.0
2024-03-01 16:19:38,0,50.0,13.0
2023-03-02 08:43:53,0,20.0,1527.0
2023-03-02 08:50:56,0,20.0,1507.0
2023-03-02 09:43:27,0,105.0,1402.0
2023-03-02 10:27:17,300,0.0,702.0
2023-03-02 10:31:45,0,1000.0,402.0
2024-03-02 09:45:53,0,100.0,135.0
2024-03-02 09:58:52,0,50.0,235.0
