Date_operation,Entrée,Sortie,Stock
2020-01-01 16:26:55,0,0,0
2023-01-03 08:32:00,0,70,1370
2024-01-03 10:20:25,0,50,285
2023-01-04 08:26:38,0,50,470
2024-01-04 10:34:47,0,40,60
2025-01-04 09:52:18,0,30,241
2024-01-05 13:32:07,0,50,570
2023-01-06 08:43:15,0,100,-100
2023-01-06 08:59:48,1000,0,900
2023-01-06 09:08:42,0,100,800
2023-01-06 09:54:37,0,150,650
2024-01-07 09:19:23,0,200,-200
2024-01-07 10:34:48,1400,0,1200
2024-01-07 10:37:09,0,100,1100
2024-01-07 11:59:13,0,100,1000
2024-01-07 12:43:33,0,30,970
2023-01-08 09:51:05,0,60,501
2025-01-08 15:56:10,0,10,890
2022-01-09 08:34:10,0,30,270
2023-01-09 08:48:39,0,30,661
2022-01-10 08:22:50,0,100,370
2022-01-10 11:57:34,0,200,170
2022-01-10 15:06:39,0,30,140
2024-01-10 08:48:37,0,100,1418
2024-01-10 09:44:19,0,70,1248
2022-01-11 09:29:35,0,20,231
2022-01-11 11:02:59,0,50,181
2022-01-11 11:24:23,0,100,81
2024-01-11 10:29:18,0,100,524
2024-01-11 15:20:48,0,20,504
2022-01-12 08:58:51,0,30,402
2023-01-12 17:32:44,0,50,750
2023-02-01 08:57:44,0,100,1296
2023-02-01 11:15:49,0,100,1196
2023-02-03 08:45:45,0,60,1310
2024-02-04 12:11:04,0,60,0
2024-02-05 09:36:53,0,50,520
2025-02-05 12:28:31,0,50,50
2024-02-07 09:42:43,0,75,895
2025-02-07 10:56:03,0,50,866
2023-02-08 09:05:00,0,30,471
2022-02-09 08:51:53,0,60,210
2023-02-09 08:49:48,0,25,636
2023-02-09 11:43:12,0,100,536
2023-02-10 08:35:06,0,50,201
2022-02-11 08:41:54,0,30,51
2022-02-11 11:40:01,0,50,1
2023-02-11 08:48:42,0,50,240
2023-02-11 11:00:16,0,50,190
2024-02-11 09:58:12,0,50,454
2022-02-12 08:21:13,0,40,362
2023-03-01 09:05:11,0,50,1146
2025-03-02 09:48:57,0,50,1150
2025-03-02 11:52:44,0,30,1120
2023-03-03 08:28:13,0,150,1160
2023-03-03 08:40:58,0,60,1100
2025-03-04 11:22:14,0,30,211
2024-03-05 09:18:44,0,30,490
2024-03-05 12:54:23,0,30,460
2025-03-05 10:24:07,0,50,0
2023-03-06 08:37:35,0,30,620
2024-03-06 09:17:38,0,100,585
2024-03-07 14:21:45,0,2,893
2025-03-07 11:31:36,0,30,836
2023-03-08 08:59:18,0,25,446
2023-03-08 10:14:21,0,100,346
2023-03-08 17:45:45,0,30,316
2022-03-09 08:24:09,0,50,160
2024-03-09 10:18:06,0,50,1558
2023-03-10 09:17:39,0,50,151
2023-03-10 15:48:45,0,100,51
2023-03-10 17:44:38,100,0,151
2023-03-10 17:45:25,0,100,51
2024-03-10 12:22:48,0,150,1098
2024-03-12 10:24:21,0,50,1200
2023-04-01 08:52:20,0,60,1086
2025-04-02 10:05:54,0,50,1070
2023-04-03 08:33:44,0,25,1075
2025-04-03 09:00:49,200,0,1500
2025-04-03 09:00:49,1300,0,1300
2025-04-03 09:00:49,11,0,1511
2025-04-03 09:44:39,0,200,1311
2025-04-03 10:38:18,0,100,1211
2023-04-04 08:50:00,0,50,420
2023-04-05 17:06:48,1200,0,1200
2023-04-05 17:12:45,0,100,1100
2024-04-06 11:16:30,0,25,560
2025-04-06 10:42:09,0,50,250
2025-04-06 15:14:04,0,100,150
2023-04-07 09:35:48,0,60,671
2023-04-07 10:31:21,0,100,571
2024-04-07 09:44:44,0,100,793
2023-04-09 09:10:30,0,30,506
2023-04-09 10:16:10,0,100,406
2024-04-09 09:54:57,0,100,1458
2022-04-10 08:32:39,0,50,90
2023-04-10 09:14:10,0,50,1
2023-04-10 09:14:10,0,1,0
2024-04-11 10:03:28,0,70,384
2024-04-11 14:45:21,0,70,314
2023-05-01 09:07:09,0,50,1036
2023-05-01 13:26:01,0,100,936
2023-05-01 17:00:30,0,12,924
2024-05-01 10:00:29,700,0,700
2024-05-01 10:18:23,0,100,600
2024-05-01 11:04:18,0,200,400
2025-05-02 17:16:58,0,50,1020
2024-05-03 09:32:23,800,0,1085
