Date_operation,Entrée,Sortie,Stock
2023-01-01,58.98,48.63,1010.35
2023-01-02,92.21,75.26,1027.29
2023-01-03,63.66,47.56,1043.39
2023-01-04,58.17,40.54,1061.03
2023-01-05,56.92,45.89,1072.06
2023-01-06,53.33,46.65,1078.75
2023-01-07,56.06,47.74,1087.06
2023-01-08,92.67,73.6,1106.13
2023-01-09,58.74,48.47,1116.4
2023-01-10,34.99,25.96,1125.42
2023-01-11,83.03,69.05,1139.4
2023-01-12,51.71,41.53,1149.58
2023-01-13,76.39,69.43,1156.55
2023-01-14,38.69,35.51,1159.72
2023-01-15,67.77,53.16,1174.33
2023-01-16,103.1,100.96,1176.46
2023-01-17,111.09,95.81,1191.74
2023-01-18,51.77,50.04,1193.47
2023-01-19,61.23,48.65,1206.05
2023-01-20,53.77,44.54,1215.28
2023-01-21,65.02,56.85,1223.46
2023-01-22,66.74,56.49,1233.71
2023-01-23,80.31,71.96,1242.06
2023-01-24,77.5,72.98,1246.58
2023-01-25,85.21,83.55,1248.24
2023-01-26,57.94,44.31,1261.87
2023-01-27,69.78,60.43,1271.22
2023-01-28,52.49,50.51,1273.2
2023-01-29,79.28,68.19,1284.29
2023-01-30,72.77,69.49,1287.57
2023-01-31,127.87,110.18,1305.26
2023-02-01,69.2,63.39,1311.07
2023-02-02,45.29,33.86,1322.5
2023-02-03,64.76,53.31,1333.95
2023-02-04,63.14,52.56,1344.54
2023-02-05,79.87,68.23,1356.18
2023-02-06,102.89,91.45,1367.62
2023-02-07,78.7,58.53,1387.79
2023-02-08,75.91,67.95,1395.74
2023-02-09,49.53,41.07,1404.21
2023-02-10,88.74,75.62,1417.33
2023-02-11,55.8,51.57,1421.56
2023-02-12,73.46,56.39,1438.64
2023-02-13,60.07,53.78,1444.92
2023-02-14,102.65,94.08,1453.49
2023-02-15,93.6,75.27,1471.82
2023-02-16,69.05,59.34,1481.54
2023-02-17,61.96,47.13,1496.36
2023-02-18,69.12,53.48,1512.0
2023-02-19,81.28,64.62,1528.66
2023-02-20,68.82,56.12,1541.36
2023-02-21,53.3,47.01,1547.66
2023-02-22,84.33,73.55,1558.43
2023-02-23,86.35,67.02,1577.76
2023-02-24,61.8,52.59,1586.97
2023-02-25,78.01,73.33,1591.65
2023-02-26,67.84,62.61,1596.88
2023-02-27,87.54,78.77,1605.65
2023-02-28,96.2,83.19,1618.66
2023-03-01,84.7,69.9,1633.46
2023-03-02,91.55,81.25,1643.76
2023-03-03,69.64,68.76,1644.64
2023-03-04,87.54,82.17,1650.0
2023-03-05,92.52,79.4,1663.12
2023-03-06,76.35,66.92,1672.56
2023-03-07,105.56,94.15,1683.96
2023-03-08,80.0,71.46,1692.51
2023-03-09,88.0,75.58,1704.93
2023-03-10,80.4,71.34,1713.99
2023-03-11,81.39,64.19,1731.19
2023-03-12,102.87,87.56,1746.49
2023-03-13,72.89,60.63,1758.75
2023-03-14,93.21,87.23,1764.73
2023-03-15,78.95,72.59,1771.09
2023-03-16,101.17,85.24,1787.03
2023-03-17,78.66,62.73,1802.95
2023-03-18,80.85,70.73,1813.07
2023-03-19,86.12,75.62,1823.57
2023-03-20,108.96,92.5,1840.04
2023-03-21,75.88,69.1,1846.82
2023-03-22,69.88,60.52,1856.19
2023-03-23,76.16,58.9,1873.46
2023-03-24,50.05,37.68,1885.83
2023-03-25,75.23,61.19,1899.87
2023-03-26,87.0,80.13,1906.73
2023-03-27,87.76,78.2,1916.29
2023-03-28,123.16,115.23,1924.22
2023-03-29,118.57,105.16,1937.63
2023-03-30,70.26,58.96,1948.93
2023-03-31,71.72,66.38,1954.27
2023-04-01,68.53,64.63,1958.17
2023-04-02,85.53,74.61,1969.09
2023-04-03,88.98,77.83,1980.23
2023-04-04,67.77,59.45,1988.55
2023-04-05,82.39,71.17,1999.78
2023-04-06,65.97,60.15,2005.59
2023-04-07,55.55,49.44,2011.7
2023-04-08,70.76,63.22,2019.23
2023-04-09,73.12,62.21,2030.13
2023-04-10,127.04,101.94,2055.23
2023-04-11,111.09,98.67,2067.65
2023-04-12,102.94,91.64,2078.96
2023-04-13,85.69,82.31,2082.34
2023-04-14,75.35,62.14,2095.55
2023-04-15,103.19,90.38,2108.36
2023-04-16,102.73,89.68,2121.41
2023-04-17,101.21,86.88,2135.74
2023-04-18,91.23,85.28,2141.69
2023-04-19,100.65,90.54,2151.8
2023-04-20,85.84,76.16,2161.49
2023-04-21,81.37,71.62,2171.23
2023-04-22,86.33,74.76,2182.79
2023-04-23,81.97,73.96,2190.81
2023-04-24,108.11,96.76,2202.15
2023-04-25,97.43,94.69,2204.89
2023-04-26,71.72,66.82,2209.79
2023-04-27,76.44,74.95,2211.28
2023-04-28,64.17,56.05,2219.4
2023-04-29,97.59,96.74,2220.24
2023-04-30,99.64,88.26,2231.63
2023-05-01,100.73,91.73,2240.62
2023-05-02,71.63,66.78,2245.46
2023-05-03,70.73,64.08,2252.11
2023-05-04,57.57,43.98,2265.7
2023-05-05,77.05,62.42,2280.33
2023-05-06,80.68,67.11,2293.89
2023-05-07,90.26,81.04,2303.12
2023-05-08,88.23,75.8,2315.55
2023-05-09,112.63,97.86,2330.32
2023-05-10,97.8,87.95,2340.17
2023-05-11,73.92,59.02,2355.07
2023-05-12,98.11,86.88,2366.29
2023-05-13,87.02,74.53,2378.78
2023-05-14,77.32,67.62,2388.49
2023-05-15,112.77,103.59,2397.66
2023-05-16,125.42,114.13,2408.95
2023-05-17,86.76,81.72,2414.0
2023-05-18,71.82,62.65,2423.17
2023-05-19,85.86,74.1,2434.93
2023-05-20,97.52,83.35,2449.1
2023-05-21,97.67,87.79,2458.98
2023-05-22,99.37,91.08,2467.26
2023-05-23,99.52,92.92,2473.86
2023-05-24,77.22,64.67,2486.42
2023-05-25,93.22,80.1,2499.54
2023-05-26,91.92,87.35,2504.12
2023-05-27,73.7,62.16,2515.66
2023-05-28,111.97,104.27,2523.36
2023-05-29,84.94,79.84,2528.46
2023-05-30,90.61,78.56,2540.52
2023-05-31,108.61,106.72,2542.41
2023-06-01,92.37,75.58,2559.19
2023-06-02,97.79,79.56,2577.42
2023-06-03,61.89,42.01,2597.3
2023-06-04,105.78,98.78,2604.31
2023-06-05,90.12,82.74,2611.69
2023-06-06,49.29,39.98,2620.99
2023-06-07,72.2,58.71,2634.48
2023-06-08,78.81,69.49,2643.8
2023-06-09,73.32,67.94,2649.18
2023-06-10,76.68,65.47,2660.39
2023-06-11,66.06,45.8,2680.65
2023-06-12,92.72,84.78,2688.6
2023-06-13,97.76,97.49,2688.87
2023-06-14,65.34,57.92,2696.29
2023-06-15,84.95,67.29,2713.95
2023-06-16,83.31,78.71,2718.55
2023-06-17,84.32,72.5,2730.37
2023-06-18,53.27,50.92,2732.71
2023-06-19,71.2,59.5,2744.41
2023-06-20,100.12,90.13,2754.4
2023-06-21,75.28,66.49,2763.2
2023-06-22,102.74,93.93,2772.0
2023-06-23,76.08,66.47,2781.62
2023-06-24,48.62,49.47,2780.77
2023-06-25,74.25,68.95,2786.07
2023-06-26,96.82,78.38,2804.51
2023-06-27,75.63,58.23,2821.91
2023-06-28,65.09,57.85,2829.15
2023-06-29,61.78,43.29,2847.64
2023-06-30,63.14,61.96,2848.82
2023-07-01,40.15,35.19,2853.77
2023-07-02,74.91,62.71,2865.97
2023-07-03,77.87,67.94,2875.9
2023-07-04,95.3,75.68,2895.52
2023-07-05,67.79,69.22,2894.08
2023-07-06,94.93,81.15,2907.86
2023-07-07,47.53,39.62,2915.76
2023-07-08,46.42,38.5,2923.68
2023-07-09,54.45,52.29,2925.83
2023-07-10,69.77,69.34,2926.26
2023-07-11,81.72,78.42,2929.56
2023-07-12,95.45,88.85,2936.16
2023-07-13,44.95,31.43,2949.67
2023-07-14,78.96,67.42,2961.21
2023-07-15,47.5,40.87,2967.83
2023-07-16,64.72,60.43,2972.12
2023-07-17,61.7,59.31,2974.52
2023-07-18,73.8,67.24,2981.07
2023-07-19,51.21,39.55,2992.73
2023-07-20,70.55,54.23,3009.06
2023-07-21,34.23,27.66,3015.62
2023-07-22,42.37,29.25,3028.74
2023-07-23,62.04,53.4,3037.37
2023-07-24,69.51,64.64,3042.25
2023-07-25,60.78,49.95,3053.07
2023-07-26,72.44,61.43,3064.08
2023-07-27,64.56,54.41,3074.23
2023-07-28,40.75,33.43,3081.55
2023-07-29,66.42,56.62,3091.36
2023-07-30,63.65,54.72,3100.29
2023-07-31,61.95,54.18,3108.06
2023-08-01,72.22,67.29,3112.99
2023-08-02,53.44,50.3,3116.12
2023-08-03,80.19,59.85,3136.46
2023-08-04,69.13,66.77,3138.82
2023-08-05,52.62,45.39,3146.06
2023-08-06,72.68,56.97,3161.77
2023-08-07,67.35,52.38,3176.75
2023-08-08,45.03,22.16,3199.62
2023-08-09,61.07,55.99,3204.7
2023-08-10,84.68,74.61,3214.77
2023-08-11,45.74,43.55,3216.96
2023-08-12,81.12,67.27,3230.82
2023-08-13,45.91,44.26,3232.47
2023-08-14,42.77,38.47,3236.77
2023-08-15,85.97,78.33,3244.41
2023-08-16,84.51,73.12,3255.8
2023-08-17,91.57,76.06,3271.31
2023-08-18,56.96,43.64,3284.62
2023-08-19,68.66,54.44,3298.84
2023-08-20,50.25,39.27,3309.82
2023-08-21,72.77,72.02,3310.56
2023-08-22,83.21,73.75,3320.03
2023-08-23,79.35,76.69,3322.69
2023-08-24,51.72,39.1,3335.31
2023-08-25,64.58,51.86,3348.02
2023-08-26,77.27,66.09,3359.2
2023-08-27,46.91,36.26,3369.84
2023-08-28,64.61,54.14,3380.32
2023-08-29,59.73,54.4,3385.64
2023-08-30,48.15,40.32,3393.47
2023-08-31,52.86,47.37,3398.95
2023-09-01,78.05,66.65,3410.36
2023-09-02,29.55,20.84,3419.07
2023-09-03,87.06,69.97,3436.15
2023-09-04,74.65,63.87,3446.94
2023-09-05,74.22,75.88,3445.28
2023-09-06,53.86,49.62,3449.52
2023-09-07,29.99,23.72,3455.78
2023-09-08,59.42,48.89,3466.31
2023-09-09,58.74,49.04,3476.01
2023-09-10,91.69,82.16,3485.54
2023-09-11,75.06,57.23,3503.38
2023-09-12,87.4,79.02,3511.76
2023-09-13,81.74,75.48,3518.03
2023-09-14,83.03,67.68,3533.38
2023-09-15,28.69,21.9,3540.18
2023-09-16,79.34,69.98,3549.53
2023-09-17,89.23,77.37,3561.39
2023-09-18,88.47,72.72,3577.15
2023-09-19,49.59,47.87,3578.87
2023-09-20,90.39,78.4,3590.86
2023-09-21,26.87,25.99,3591.74
2023-09-22,57.64,48.91,3600.47
2023-09-23,32.93,28.7,3604.69
2023-09-24,58.66,40.07,3623.28
2023-09-25,74.23,61.45,3636.05
2023-09-26,62.25,48.5,3649.8
2023-09-27,62.99,55.0,3657.79
2023-09-28,66.36,55.79,3668.36
2023-09-29,11.51,2.43,3677.44
2023-09-30,69.69,58.64,3688.49
2023-10-01,70.04,60.21,3698.31
2023-10-02,61.21,48.49,3711.03
2023-10-03,82.53,70.7,3722.86
2023-10-04,79.31,76.77,3725.41
2023-10-05,98.69,99.5,3724.61
2023-10-06,54.5,39.6,3739.5
2023-10-07,30.78,27.54,3742.74
2023-10-08,75.36,65.99,3752.11
2023-10-09,86.84,73.96,3764.99
2023-10-10,71.64,59.33,3777.31
2023-10-11,57.2,48.6,3785.9
2023-10-12,43.53,38.81,3790.62
2023-10-13,47.72,45.78,3792.56
2023-10-14,41.71,29.3,3804.98
2023-10-15,78.47,67.03,3816.41
2023-10-16,104.78,86.42,3834.78
2023-10-17,96.93,82.39,3849.32
2023-10-18,59.23,52.08,3856.47
2023-10-19,38.02,33.86,3860.63
